sub_id,cohort,subcluster,n,median_nullpos,frac_cell_rule,too_small,call
Patient16|epi_s27,Patient16,epi_s27,47,0.9995,1.0,False,malignant
Patient16|epi_s30,Patient16,epi_s30,196,0.9995,1.0,False,malignant
Patient16|epi_s31,Patient16,epi_s31,72,0.9995,1.0,False,malignant
Patient16|epi_s52,Patient16,epi_s52,54,0.9995,1.0,False,malignant
Patient16|epi_s53,Patient16,epi_s53,137,0.9995,1.0,False,malignant
Patient16|epi_s55,Patient16,epi_s55,59,0.9995,1.0,False,malignant
Patient16|epi_s58,Patient16,epi_s58,92,0.9995,1.0,False,malignant
Patient16|epi_s6,Patient16,epi_s6,31,0.9995,1.0,False,malignant
Patient16|epi_s61,Patient16,epi_s61,106,0.9995,1.0,False,malignant
Patient16|epi_s66,Patient16,epi_s66,135,0.9995,1.0,False,malignant
Patient16|epi_s68,Patient16,epi_s68,59,0.9995,1.0,False,malignant
Patient16|epi_s69,Patient16,epi_s69,114,0.9995,1.0,False,malignant
Patient16|epi_s78,Patient16,epi_s78,64,0.9995,1.0,False,malignant
Patient16|epi_s82,Patient16,epi_s82,25,0.9995,1.0,False,malignant
Patient16|epi_s85,Patient16,epi_s85,65,0.9995,1.0,False,malignant
Patient16|epi_s87,Patient16,epi_s87,49,0.9995,1.0,False,malignant
Patient16|epi_s88,Patient16,epi_s88,22,0.9995,0.9545454545454546,False,malignant
Patient16|epi_s100,Patient16,epi_s100,6,0.99975,1.0,True,undecided
Patient16|epi_s67,Patient16,epi_s67,16,0.99975,1.0,True,undecided
Patient16|epi_s96,Patient16,epi_s96,2,0.99975,1.0,True,undecided
Patient16|epi_s104,Patient16,epi_s104,2,1.0,1.0,True,undecided
Patient16|epi_s108,Patient16,epi_s108,1,1.0,1.0,True,undecided
Patient16|epi_s11,Patient16,epi_s11,219,1.0,1.0,False,malignant
Patient16|epi_s13,Patient16,epi_s13,70,1.0,1.0,False,malignant
Patient16|epi_s14,Patient16,epi_s14,206,1.0,1.0,False,malignant
Patient16|epi_s15,Patient16,epi_s15,45,1.0,1.0,False,malignant
Patient16|epi_s16,Patient16,epi_s16,40,1.0,1.0,False,malignant
Patient16|epi_s17,Patient16,epi_s17,57,1.0,1.0,False,malignant
Patient16|epi_s20,Patient16,epi_s20,117,1.0,1.0,False,malignant
Patient16|epi_s22,Patient16,epi_s22,52,1.0,1.0,False,malignant
Patient16|epi_s23,Patient16,epi_s23,4,1.0,1.0,True,undecided
Patient16|epi_s24,Patient16,epi_s24,48,1.0,1.0,False,malignant
Patient16|epi_s25,Patient16,epi_s25,90,1.0,1.0,False,malignant
Patient16|epi_s28,Patient16,epi_s28,117,1.0,1.0,False,malignant
Patient16|epi_s29,Patient16,epi_s29,153,1.0,1.0,False,malignant
Patient16|epi_s3,Patient16,epi_s3,382,1.0,1.0,False,malignant
Patient16|epi_s32,Patient16,epi_s32,64,1.0,1.0,False,malignant
Patient16|epi_s33,Patient16,epi_s33,115,1.0,1.0,False,malignant
Patient16|epi_s34,Patient16,epi_s34,192,1.0,1.0,False,malignant
Patient16|epi_s35,Patient16,epi_s35,151,1.0,1.0,False,malignant
Patient16|epi_s36,Patient16,epi_s36,81,1.0,1.0,False,malignant
Patient16|epi_s38,Patient16,epi_s38,81,1.0,1.0,False,malignant
Patient16|epi_s40,Patient16,epi_s40,58,1.0,1.0,False,malignant
Patient16|epi_s41,Patient16,epi_s41,91,1.0,1.0,False,malignant
Patient16|epi_s43,Patient16,epi_s43,53,1.0,1.0,False,malignant
Patient16|epi_s45,Patient16,epi_s45,107,1.0,1.0,False,malignant
Patient16|epi_s46,Patient16,epi_s46,196,1.0,1.0,False,malignant
Patient16|epi_s47,Patient16,epi_s47,119,1.0,1.0,False,malignant
Patient16|epi_s48,Patient16,epi_s48,117,1.0,1.0,False,malignant
Patient16|epi_s49,Patient16,epi_s49,75,1.0,1.0,False,malignant
Patient16|epi_s50,Patient16,epi_s50,91,1.0,1.0,False,malignant
Patient16|epi_s56,Patient16,epi_s56,144,1.0,0.9930555555555556,False,malignant
Patient16|epi_s57,Patient16,epi_s57,107,1.0,1.0,False,malignant
Patient16|epi_s59,Patient16,epi_s59,99,1.0,1.0,False,malignant
Patient16|epi_s60,Patient16,epi_s60,62,1.0,1.0,False,malignant
Patient16|epi_s62,Patient16,epi_s62,35,1.0,1.0,False,malignant
Patient16|epi_s63,Patient16,epi_s63,78,1.0,1.0,False,malignant
Patient16|epi_s64,Patient16,epi_s64,100,1.0,1.0,False,malignant
Patient16|epi_s65,Patient16,epi_s65,41,1.0,1.0,False,malignant
Patient16|epi_s7,Patient16,epi_s7,43,1.0,1.0,False,malignant
Patient16|epi_s71,Patient16,epi_s71,1,1.0,1.0,True,undecided
Patient16|epi_s72,Patient16,epi_s72,33,1.0,1.0,False,malignant
Patient16|epi_s73,Patient16,epi_s73,79,1.0,1.0,False,malignant
Patient16|epi_s75,Patient16,epi_s75,29,1.0,1.0,False,malignant
Patient16|epi_s76,Patient16,epi_s76,56,1.0,1.0,False,malignant
Patient16|epi_s79,Patient16,epi_s79,37,1.0,1.0,False,malignant
Patient16|epi_s81,Patient16,epi_s81,86,1.0,1.0,False,malignant
Patient16|epi_s83,Patient16,epi_s83,18,1.0,1.0,True,undecided
Patient16|epi_s84,Patient16,epi_s84,5,1.0,1.0,True,undecided
Patient16|epi_s86,Patient16,epi_s86,24,1.0,1.0,False,malignant
Patient16|epi_s90,Patient16,epi_s90,36,1.0,1.0,False,malignant
