# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP14_EMT_3,emt,ANXA2,0.722948,1.439775,0.033583,0.038862,0.507205,5
MP14_EMT_3,emt,ANXA1,0.365995,0.667426,0.015568,0.037687,0.547608,6
MP14_EMT_3,emt,LGALS1,0.555541,1.15629,0.02697,0.036779,0.479014,7
MP14_EMT_3,emt,KRT19,0.758131,1.827193,0.042619,0.033018,0.482667,8
MP14_EMT_3,emt,TAGLN2,0.728658,1.43623,0.0335,0.032864,0.525638,9
MP14_EMT_3,emt,S100A16,0.462339,0.753351,0.017572,0.032849,0.444121,10
MP14_EMT_3,emt,KRT7,0.582905,1.069658,0.02495,0.032803,0.517498,11
MP14_EMT_3,emt,S100A14,0.475665,0.816532,0.019046,0.03097,0.395572,12
MP14_EMT_3,emt,MMP7,0.23972,0.489348,0.011414,0.029568,0.467972,13
MP14_EMT_3,emt,LGALS3,0.567792,0.960818,0.022411,0.027669,0.40691,14
MP14_EMT_3,emt,SH3BGRL3,0.657286,1.159394,0.027043,0.026899,0.39755,15
MP14_EMT_3,emt,HSPB1,0.611128,1.104912,0.025772,0.026023,0.338782,16
MP14_EMT_3,emt,ISG15,0.323948,0.503351,0.011741,0.025359,0.46861,17
MP14_EMT_3,emt,MYL12A,0.660496,1.090655,0.02544,0.025217,0.453352,18
MP14_EMT_3,emt,CLIC1,0.677019,1.12461,0.026232,0.024181,0.413326,19
MP14_EMT_3,emt,LMNA,0.597668,0.932901,0.02176,0.021856,0.371669,20
MP14_EMT_3,emt,TM4SF1,0.650341,1.236864,0.02885,0.02031,0.326426,21
MP14_EMT_3,emt,PHLDA2,0.31484,0.3963,0.009244,0.019715,0.384788,22
MP14_EMT_3,emt,KRT8,0.651939,1.13047,0.026368,0.019573,0.336297,23
MP14_EMT_3,emt,TNFRSF12A,0.35248,0.430203,0.010034,0.019279,0.415375,24
MP14_EMT_3,emt,CD24,0.729249,1.486312,0.034668,0.019134,0.300366,25
MP14_EMT_3,emt,PLP2,0.370844,0.437917,0.010214,0.018384,0.374601,26
MP14_EMT_3,emt,IL32,0.233742,0.357348,0.008335,0.016851,0.419932,27
MP14_EMT_3,emt,TMSB4X,0.843635,2.066238,0.048195,0.01641,0.338198,28
MP14_EMT_3,emt,MDK,0.672251,1.30425,0.030422,0.01543,0.259938,29
MP14_EMT_3,emt,VIM,0.586035,1.284394,0.029959,0.014527,0.291962,30
MP14_EMT_3,emt,CRIP2,0.468331,0.633388,0.014774,0.014159,0.280796,31
MP14_EMT_3,emt,EZR,0.412636,0.465697,0.010862,0.013443,0.297594,32
MP14_EMT_3,emt,STMN1,0.521138,0.888916,0.020734,0.012351,0.23497,33
MP14_EMT_3,emt,CLDN4,0.58316,1.018464,0.023756,0.012126,0.191777,34
MP14_EMT_3,emt,KRT18,0.683373,1.304822,0.030435,0.011516,0.157028,35
