# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 42-,DR 42,-,MP39_METAL_RESPONSE,0.3822,MP39_METAL_RESPONSE,0.3822,MP14_EMT_3,3.6277,0.00023566766563181302,True,True,False,False,detoxification,emt,both_routes_different_family,False,none
DR 43+,DR 43,+,MP41_UNASSIGNED,0.1565,MP41_UNASSIGNED,0.1565,MP3_CELL_CYCLE_HMG_RICH,2.1467,0.007133456216702232,False,True,False,False,unassigned,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 43-,DR 43,-,MP19_EPITHELIAL_SENESCENCE,0.2518,MP19_EPITHELIAL_SENESCENCE,0.2518,MP19_EPITHELIAL_SENESCENCE,17.1541,7.012938009624128e-18,True,True,True,True,senescence,senescence,convergent,False,none
DR 44+,DR 44,+,MP23_SECRETED_2,0.1436,MP23_SECRETED_2,0.1436,MP19_EPITHELIAL_SENESCENCE,1.7917,0.016154741014619032,False,True,False,False,secreted,senescence,factor_only_candidate_patient_or_technical,False,none
DR 44-,DR 44,-,MP3_CELL_CYCLE_HMG_RICH,0.1899,MP3_CELL_CYCLE_HMG_RICH,0.1899,MP3_CELL_CYCLE_HMG_RICH,3.1772,0.0006649668571246756,False,True,False,False,cell_cycle,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 45+,DR 45,+,MP21_RESPIRATION,0.1471,MP21_RESPIRATION,0.1471,MP25_ASTROCYTES,7.3711,4.2550042675910574e-08,False,True,False,False,metabolic,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 45-,DR 45,-,MP19_EPITHELIAL_SENESCENCE,0.3252,MP19_EPITHELIAL_SENESCENCE,0.3252,MP5_STRESS,13.2056,6.228737089440282e-14,True,True,False,False,senescence,stress,both_routes_different_family,False,none
DR 46+,DR 46,+,MP39_METAL_RESPONSE,0.0492,MP39_METAL_RESPONSE,0.0492,MP25_ASTROCYTES,6.4204,3.798393901545072e-07,False,True,False,False,detoxification,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 46-,DR 46,-,MP23_SECRETED_2,0.1531,MP23_SECRETED_2,0.1531,MP17_INTERFERON_MHC_II_1,4.8328,1.4696028989796518e-05,False,True,False,False,secreted,immune,factor_only_candidate_patient_or_technical,False,none
DR 47+,DR 47,+,MP39_METAL_RESPONSE,0.081,MP39_METAL_RESPONSE,0.081,MP14_EMT_3,6.865,1.3645831365889239e-07,False,True,False,False,detoxification,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 47-,DR 47,-,MP19_EPITHELIAL_SENESCENCE,0.0752,MP19_EPITHELIAL_SENESCENCE,0.0752,MP19_EPITHELIAL_SENESCENCE,1.7917,0.016154741014619032,False,True,False,False,senescence,senescence,factor_only_candidate_patient_or_technical,False,none
DR 48+,DR 48,+,MP21_RESPIRATION,0.0978,MP21_RESPIRATION,0.0978,MP14_EMT_3,2.391,0.004064433291652128,False,True,False,False,metabolic,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 48-,DR 48,-,MP22_SECRETED_1,0.3305,MP22_SECRETED_1,0.3305,MP22_SECRETED_1,15.9769,1.0546297058996503e-16,True,True,True,True,secreted,secreted,convergent,False,none
